"1","1","id","number","ID","1","0","0","0","0","0",NULL,"1"
"2","1","name","text","Name","1","1","1","1","1","1",NULL,"2"
"3","1","email","text","Email","1","1","1","1","1","1",NULL,"3"
"4","1","password","password","Password","1","0","0","1","1","0",NULL,"4"
"5","1","remember_token","text","Remember Token","0","0","0","0","0","0",NULL,"5"
"6","1","created_at","timestamp","Created At","0","1","1","0","0","0",NULL,"6"
"7","1","updated_at","timestamp","Updated At","0","0","0","0","0","0",NULL,"7"
"8","1","avatar","image","Avatar","0","1","1","1","1","1",NULL,"8"
"9","1","user_belongsto_role_relationship","relationship","Role","0","1","1","1","1","0","{""model"":""TCG\\Voyager\\Models\\Role"",""table"":""roles"",""type"":""belongsTo"",""column"":""role_id"",""key"":""id"",""label"":""display_name"",""pivot_table"":""roles"",""pivot"":0}","10"
"10","1","user_belongstomany_role_relationship","relationship","Roles","0","1","1","1","1","0","{""model"":""TCG\\Voyager\\Models\\Role"",""table"":""roles"",""type"":""belongsToMany"",""column"":""id"",""key"":""id"",""label"":""display_name"",""pivot_table"":""user_roles"",""pivot"":""1"",""taggable"":""0""}","11"
"11","1","locale","text","Locale","0","1","1","1","1","0",NULL,"12"
"12","1","settings","hidden","Settings","0","0","0","0","0","0",NULL,"12"
"13","2","id","number","ID","1","0","0","0","0","0",NULL,"1"
"14","2","name","text","Name","1","1","1","1","1","1",NULL,"2"
"15","2","created_at","timestamp","Created At","0","0","0","0","0","0",NULL,"3"
"16","2","updated_at","timestamp","Updated At","0","0","0","0","0","0",NULL,"4"
"17","3","id","number","ID","1","0","0","0","0","0",NULL,"1"
"18","3","name","text","Name","1","1","1","1","1","1",NULL,"2"
"19","3","created_at","timestamp","Created At","0","0","0","0","0","0",NULL,"3"
"20","3","updated_at","timestamp","Updated At","0","0","0","0","0","0",NULL,"4"
"21","3","display_name","text","Display Name","1","1","1","1","1","1",NULL,"5"
"22","1","role_id","text","Role","1","1","1","1","1","1",NULL,"9"
